id,prompt,BLIPScore
partiprompt_76_stable_diffusion_v2_1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.77
"30_A dignified beaver wearing glasses, and a vest. He stands next to a tall stack of books in a library._0",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.07
"30_A dignified beaver wearing glasses, and a vest. He stands next to a tall stack of books in a library._4",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.74
"30_A dignified beaver wearing glasses, and colorful neck tie. He stands next to a tall stack of books in a library._0",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,0.01
"30_A dignified beaver wearing glasses, and colorful neck tie. He stands next to a tall stack of books in a library._4",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.01
"30_A dignified beaver wearing a vest, and colorful neck tie. He stands next to a tall stack of books in a library._0",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,0.21
"30_A dignified beaver wearing a vest, and colorful neck tie. He stands next to a tall stack of books in a library._4",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,0.04
"30_A dignified beaver wearing glasses, a vest, and colorful neck tie._0",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,0.24
30_A dignified beaver wearing glasses and colorful neck tie. He stands next to a tall stack of books._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,0.22
30_A dignified beaver wearing glasses and colorful neck tie. He stands next to a tall stack of books._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.31
30_A dignified beaver wearing glasses and colorful neck tie._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.43
30_A dignified beaver wearing glasses and colorful neck tie._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.41
30_A dignified beaver wearing glasses and colorful neck tie._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.06
30_A dignified beaver wearing glasses and colorful neck tie._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.41
30_A dignified beaver stands next to a tall stack of books in a library._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,0.30
30_A dignified beaver stands next to a tall stack of books in a library._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.06
30_A dignified beaver stands next to a tall stack of books in a library._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,0.12
30_A dignified beaver stands next to a tall stack of books in a library._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.03
30_A dignified beaver wearing glasses._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.59
30_A dignified beaver wearing glasses._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.20
30_A dignified beaver wearing glasses._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.45
30_A dignified beaver wearing glasses._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.65
30_A dignified beaver wearing glasses._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.64
30_A dignified beaver wearing a colorful neck tie._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.66
30_A dignified beaver wearing a colorful neck tie._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.12
30_A dignified beaver wearing a colorful neck tie._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.56
30_A dignified beaver wearing a colorful neck tie._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.07
30_A dignified beaver wearing a colorful neck tie._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.77
30_A tall stack of books in a library._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,0.27
30_A dignified beaver_4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.82
30_Glasses._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.79
30_Glasses._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.98
30_Glasses._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.32
30_Glasses._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.18
30_A neck tie._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.07
30_A vest._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.71
30_A vest._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.60
30_A vest._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,-0.88
partiprompt_1250_stable_diffusion_v2_1,a map of Italy,0.57
31_a map._0,a map of Italy,0.06
31_a map._1,a map of Italy,-0.01
31_a map._2,a map of Italy,0.54
31_a map._3,a map of Italy,0.37
31_a map._4,a map of Italy,-0.85
partiprompt_1053_stable_diffusion_v2_1,a pair of glasses in front of a computer monitor,-0.60
32_a pair of glasses._0,a pair of glasses in front of a computer monitor,-0.68
32_a pair of glasses._1,a pair of glasses in front of a computer monitor,-0.54
32_a pair of glasses._2,a pair of glasses in front of a computer monitor,-0.34
32_a pair of glasses._4,a pair of glasses in front of a computer monitor,-0.12
32_a computer monitor._0,a pair of glasses in front of a computer monitor,0.15
32_a computer monitor._2,a pair of glasses in front of a computer monitor,0.33
32_a computer monitor._3,a pair of glasses in front of a computer monitor,0.35
32_a computer monitor._4,a pair of glasses in front of a computer monitor,-0.28
partiprompt_1028_stable_diffusion_v2_1,an ostrich standing in front of a couch,-0.50
33_an ostrich standing._0,an ostrich standing in front of a couch,-0.30
33_an ostrich standing._2,an ostrich standing in front of a couch,-0.11
33_an ostrich standing._3,an ostrich standing in front of a couch,-0.66
33_an ostrich standing._4,an ostrich standing in front of a couch,-0.40
33_a couch._0,an ostrich standing in front of a couch,-0.35
33_a couch._1,an ostrich standing in front of a couch,-0.46
33_a couch._2,an ostrich standing in front of a couch,-0.91
33_a couch._3,an ostrich standing in front of a couch,-0.77
33_a couch._4,an ostrich standing in front of a couch,0.15
paintskill_110_stable_diffusion_v2_1,a photo of bed and human; human is right to bed,-1.00
34_a photo of bed._0,a photo of bed and human; human is right to bed,-0.71
34_a photo of bed._1,a photo of bed and human; human is right to bed,-0.98
34_a photo of bed._2,a photo of bed and human; human is right to bed,-0.66
34_a photo of bed._3,a photo of bed and human; human is right to bed,-0.61
34_a photo of bed._4,a photo of bed and human; human is right to bed,-0.70
34_a photo of human._0,a photo of bed and human; human is right to bed,0.05
34_a photo of human._1,a photo of bed and human; human is right to bed,-0.24
34_a photo of human._2,a photo of bed and human; human is right to bed,0.22
34_a photo of human._3,a photo of bed and human; human is right to bed,-0.21
34_a photo of human._4,a photo of bed and human; human is right to bed,-0.44
drawbench_155_stable_diffusion_v2_1,A car playing with a soccer player digital art.,-1.28
"35_A car, digital art._0",A car playing with a soccer player digital art.,-0.56
"35_A car, digital art._1",A car playing with a soccer player digital art.,-0.21
"35_A car, digital art._2",A car playing with a soccer player digital art.,-0.23
"35_A car, digital art._3",A car playing with a soccer player digital art.,-0.27
"35_A car, digital art._4",A car playing with a soccer player digital art.,-0.02
"35_A soccer player, digital art._0",A car playing with a soccer player digital art.,-0.11
"35_A soccer player, digital art._1",A car playing with a soccer player digital art.,-0.11
"35_A soccer player, digital art._2",A car playing with a soccer player digital art.,-0.31
"35_A soccer player, digital art._3",A car playing with a soccer player digital art.,0.37
"35_A soccer player, digital art._4",A car playing with a soccer player digital art.,-0.03
partiprompt_1012_stable_diffusion_v2_1,a mountain with a cloud hanging over it,-0.14
36_a mountain _0,a mountain with a cloud hanging over it,-0.29
36_a mountain _1,a mountain with a cloud hanging over it,-0.59
36_a mountain _3,a mountain with a cloud hanging over it,-0.63
36_a cloud hanging over_0,a mountain with a cloud hanging over it,-0.59
36_a cloud hanging over_1,a mountain with a cloud hanging over it,-0.77
36_a cloud hanging over_2,a mountain with a cloud hanging over it,0.03
36_a cloud hanging over_3,a mountain with a cloud hanging over it,-0.44
36_a cloud hanging over_4,a mountain with a cloud hanging over it,-0.47
partiprompt_555_stable_diffusion_v2_1,an espresso machine that makes coffee.,-0.65
37_an espresso machine._0,an espresso machine that makes coffee.,-0.49
37_an espresso machine._1,an espresso machine that makes coffee.,0.02
37_an espresso machine._2,an espresso machine that makes coffee.,0.06
37_an espresso machine._3,an espresso machine that makes coffee.,0.37
37_an espresso machine._4,an espresso machine that makes coffee.,0.41
37_coffee._0,an espresso machine that makes coffee.,0.46
37_coffee._1,an espresso machine that makes coffee.,0.34
37_coffee._2,an espresso machine that makes coffee.,0.29
37_coffee._4,an espresso machine that makes coffee.,0.40
partiprompt_504_stable_diffusion_v2_1,The sun behind a skyscraper. painting in the style of Hokusai.,-0.58
38_A skyscraper. painting in the style of Hokusai._0,The sun behind a skyscraper. painting in the style of Hokusai.,-0.11
38_A skyscraper. painting in the style of Hokusai._1,The sun behind a skyscraper. painting in the style of Hokusai.,-0.15
38_A skyscraper. painting in the style of Hokusai._2,The sun behind a skyscraper. painting in the style of Hokusai.,0.07
38_A skyscraper. painting in the style of Hokusai._3,The sun behind a skyscraper. painting in the style of Hokusai.,-0.06
38_A skyscraper. painting in the style of Hokusai._4,The sun behind a skyscraper. painting in the style of Hokusai.,-0.07
38_The sun. painting in the style of Hokusai._0,The sun behind a skyscraper. painting in the style of Hokusai.,0.11
38_The sun. painting in the style of Hokusai._1,The sun behind a skyscraper. painting in the style of Hokusai.,0.09
38_The sun. painting in the style of Hokusai._2,The sun behind a skyscraper. painting in the style of Hokusai.,0.04
38_The sun. painting in the style of Hokusai._4,The sun behind a skyscraper. painting in the style of Hokusai.,-0.17
partiprompt_607_stable_diffusion_v2_1,red apples on a tree with green leaves,-0.32
39_square red apples on a tree._0,red apples on a tree with green leaves,-0.22
39_square red apples on a tree._1,red apples on a tree with green leaves,-0.81
39_square red apples on a tree._2,red apples on a tree with green leaves,-0.13
39_square red apples on a tree._3,red apples on a tree with green leaves,-0.22
39_square red apples on a tree._4,red apples on a tree with green leaves,-0.65
39_red apples with green leaves._0,red apples on a tree with green leaves,-0.14
39_red apples with green leaves._1,red apples on a tree with green leaves,-0.01
39_red apples with green leaves._2,red apples on a tree with green leaves,-0.88
39_red apples with green leaves._3,red apples on a tree with green leaves,0.12
39_red apples with green leaves._4,red apples on a tree with green leaves,-0.09
39_tree with green leaves._0,red apples on a tree with green leaves,-0.16
39_tree with green leaves._1,red apples on a tree with green leaves,0.17
39_tree with green leaves._2,red apples on a tree with green leaves,-0.15
39_tree with green leaves._3,red apples on a tree with green leaves,-0.58
39_tree with green leaves._4,red apples on a tree with green leaves,-0.09
39_red apples._0,red apples on a tree with green leaves,-0.13
39_red apples._2,red apples on a tree with green leaves,0.06
39_red apples._3,red apples on a tree with green leaves,-0.14
39_red apples._4,red apples on a tree with green leaves,0.05
39_a tree._0,red apples on a tree with green leaves,-0.30
39_a tree._1,red apples on a tree with green leaves,0.21
39_a tree._2,red apples on a tree with green leaves,-0.03
39_a tree._3,red apples on a tree with green leaves,-0.43
39_green leaves._0,red apples on a tree with green leaves,0.30
39_green leaves._1,red apples on a tree with green leaves,-0.15
39_green leaves._2,red apples on a tree with green leaves,-0.79
39_green leaves._3,red apples on a tree with green leaves,-0.36
39_green leaves._4,red apples on a tree with green leaves,-0.16
coco_290223_stable_diffusion_v2_1,An assortment of fruits and vegetable all set together,-0.73
40_An assortment of fruits._0,An assortment of fruits and vegetable all set together,0.90
40_An assortment of fruits._1,An assortment of fruits and vegetable all set together,0.27
40_An assortment of fruits._2,An assortment of fruits and vegetable all set together,0.42
40_An assortment of fruits._3,An assortment of fruits and vegetable all set together,0.40
40_An assortment of fruits._4,An assortment of fruits and vegetable all set together,0.38
40_An assortment of vegetable._0,An assortment of fruits and vegetable all set together,-0.04
40_An assortment of vegetable._1,An assortment of fruits and vegetable all set together,-0.21
40_An assortment of vegetable._2,An assortment of fruits and vegetable all set together,0.25
40_An assortment of vegetable._3,An assortment of fruits and vegetable all set together,-0.53
40_An assortment of vegetable._4,An assortment of fruits and vegetable all set together,-0.25
coco_366619_stable_diffusion_v2_1,People walking down a city sidewalk showing one with headphones.,-0.84
41_People walking down a city sidewalk._0,People walking down a city sidewalk showing one with headphones.,-0.26
41_People walking down a city sidewalk._1,People walking down a city sidewalk showing one with headphones.,-0.35
41_People walking down a city sidewalk._2,People walking down a city sidewalk showing one with headphones.,-0.49
41_People walking down a city sidewalk._3,People walking down a city sidewalk showing one with headphones.,-0.76
41_People walking down a city sidewalk._4,People walking down a city sidewalk showing one with headphones.,-0.70
41_headphones on a city sidewalk._0,People walking down a city sidewalk showing one with headphones.,-0.08
41_headphones on a city sidewalk._1,People walking down a city sidewalk showing one with headphones.,-0.27
41_headphones on a city sidewalk._3,People walking down a city sidewalk showing one with headphones.,-0.00
41_headphones on a city sidewalk._4,People walking down a city sidewalk showing one with headphones.,0.15
41_People walking down with headphones._0,People walking down a city sidewalk showing one with headphones.,-0.48
41_People walking down with headphones._2,People walking down a city sidewalk showing one with headphones.,-0.32
41_People walking down with headphones._3,People walking down a city sidewalk showing one with headphones.,-0.39
41_People walking._0,People walking down a city sidewalk showing one with headphones.,0.69
41_People walking._1,People walking down a city sidewalk showing one with headphones.,0.71
41_People walking._2,People walking down a city sidewalk showing one with headphones.,0.12
41_People walking._3,People walking down a city sidewalk showing one with headphones.,0.90
41_People walking._4,People walking down a city sidewalk showing one with headphones.,0.42
41_A city sidewalk._0,People walking down a city sidewalk showing one with headphones.,-0.96
41_A city sidewalk._2,People walking down a city sidewalk showing one with headphones.,-0.71
41_A city sidewalk._3,People walking down a city sidewalk showing one with headphones.,-0.59
41_A city sidewalk._4,People walking down a city sidewalk showing one with headphones.,-0.42
41_headphones._0,People walking down a city sidewalk showing one with headphones.,-0.15
41_headphones._1,People walking down a city sidewalk showing one with headphones.,-0.76
41_headphones._3,People walking down a city sidewalk showing one with headphones.,-0.55
41_headphones._4,People walking down a city sidewalk showing one with headphones.,0.62
coco_666114_stable_diffusion_v2_1,A little boy kicks a soccer ball surrounded by other youth soccer players.,0.21
42_A little boy surrounded by other youth soccer players._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.61
42_A little boy kicks a soccer ball._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.66
42_A little boy kicks a soccer ball._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.61
42_A little boy kicks a soccer ball._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.50
42_A little boy._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.58
42_A little boy._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.74
42_A little boy._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.36
42_A little boy._3,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.52
42_A little boy._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.83
42_Youth soccer players._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.02
42_Youth soccer players._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.82
42_Youth soccer players._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,-1.07
42_A soccer ball._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.10
42_A soccer ball._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.40
42_A soccer ball._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.20
42_A soccer ball._3,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.18
42_A soccer ball._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,-0.17
coco_694975_stable_diffusion_v2_1,man with a tennis racket,-1.23
43_a tennis racket._0,man with a tennis racket,-0.29
43_a tennis racket._1,man with a tennis racket,-0.17
43_a tennis racket._2,man with a tennis racket,-0.56
43_a tennis racket._3,man with a tennis racket,-0.45
43_a man._4,man with a tennis racket,-0.20
coco_817577_stable_diffusion_v2_1,A baseball player running to a base during a game at night.,-1.23
44_A baseball player running._0,A baseball player running to a base during a game at night.,-1.31
44_A baseball player running._1,A baseball player running to a base during a game at night.,-0.90
44_A baseball player running._2,A baseball player running to a base during a game at night.,-0.95
44_A baseball player running._3,A baseball player running to a base during a game at night.,-1.34
44_A baseball player running._4,A baseball player running to a base during a game at night.,-0.90
44_A base during a game at night._0,A baseball player running to a base during a game at night.,-0.88
44_A base during a game at night._1,A baseball player running to a base during a game at night.,-0.78
44_A base during a game at night._2,A baseball player running to a base during a game at night.,-0.78
44_A base during a game at night._4,A baseball player running to a base during a game at night.,-0.54
45_a group of snow skiers._0,a group of beginner snow skiers having class,-0.69
45_a group of snow skiers._1,a group of beginner snow skiers having class,-0.29
45_a group of snow skiers._2,a group of beginner snow skiers having class,-0.60
45_a group of snow skiers._3,a group of beginner snow skiers having class,-0.09
45_a group of snow skiers._4,a group of beginner snow skiers having class,-0.97
45_a class._0,a group of beginner snow skiers having class,0.84
45_a class._1,a group of beginner snow skiers having class,0.34
45_a class._2,a group of beginner snow skiers having class,-0.38
45_a class._3,a group of beginner snow skiers having class,0.16
45_a class._4,a group of beginner snow skiers having class,-0.05
coco_54581_stable_diffusion_v2_1,A group of surfers are carrying their surf boards into the ocean.,-0.12
46_A group of surfers are carrying their surf boards (in a field)._0,A group of surfers are carrying their surf boards into the ocean.,-1.11
46_A group of surfers are carrying their surf boards (in a field)._1,A group of surfers are carrying their surf boards into the ocean.,-0.69
46_A group of surfers are carrying their surf boards (in a field)._2,A group of surfers are carrying their surf boards into the ocean.,-0.48
46_A group of surfers are carrying their surf boards (in a field)._3,A group of surfers are carrying their surf boards into the ocean.,-0.46
46_A group of surfers are carrying their surf boards (in a field)._4,A group of surfers are carrying their surf boards into the ocean.,-0.68
46_A group of surfers in the ocean._0,A group of surfers are carrying their surf boards into the ocean.,-0.34
46_A group of surfers in the ocean._1,A group of surfers are carrying their surf boards into the ocean.,-0.31
46_A group of surfers in the ocean._2,A group of surfers are carrying their surf boards into the ocean.,-0.02
46_A group of surfers in the ocean._3,A group of surfers are carrying their surf boards into the ocean.,-0.53
46_A group of surfers in the ocean._4,A group of surfers are carrying their surf boards into the ocean.,-0.85
46_Surf boards into the ocean._0,A group of surfers are carrying their surf boards into the ocean.,-0.24
46_Surf boards into the ocean._2,A group of surfers are carrying their surf boards into the ocean.,-0.51
46_Surf boards into the ocean._3,A group of surfers are carrying their surf boards into the ocean.,-0.36
46_Surf boards into the ocean._4,A group of surfers are carrying their surf boards into the ocean.,-0.14
46_A group of surfers._0,A group of surfers are carrying their surf boards into the ocean.,-0.59
46_A group of surfers._1,A group of surfers are carrying their surf boards into the ocean.,-0.76
46_A group of surfers._2,A group of surfers are carrying their surf boards into the ocean.,0.00
46_A group of surfers._3,A group of surfers are carrying their surf boards into the ocean.,-0.64
46_A group of surfers._4,A group of surfers are carrying their surf boards into the ocean.,-0.83
46_Surf boards._0,A group of surfers are carrying their surf boards into the ocean.,-0.32
46_Surf boards._1,A group of surfers are carrying their surf boards into the ocean.,-0.41
46_Surf boards._2,A group of surfers are carrying their surf boards into the ocean.,-0.23
46_Surf boards._3,A group of surfers are carrying their surf boards into the ocean.,-0.06
46_Surf boards._4,A group of surfers are carrying their surf boards into the ocean.,-0.83
46_Ocean._4,A group of surfers are carrying their surf boards into the ocean.,-0.84
coco_555553_stable_diffusion_v2_1,Zebras eat hay in black and white.,-0.16
47_zebras  in black and white._1,Zebras eat hay in black and white.,-0.54
47_Hay in black and white._0,Zebras eat hay in black and white.,-0.92
47_Hay in black and white._1,Zebras eat hay in black and white.,-0.63
47_Hay in black and white._2,Zebras eat hay in black and white.,-0.45
47_Hay in black and white._3,Zebras eat hay in black and white.,-0.36
47_Hay in black and white._4,Zebras eat hay in black and white.,-1.04
coco_544405_stable_diffusion_v2_1,a woman in a black jacket and two pizzas,-0.77
48_a woman in a black jacket._0,a woman in a black jacket and two pizzas,-0.06
48_a woman in a black jacket._1,a woman in a black jacket and two pizzas,0.07
48_a woman in a black jacket._2,a woman in a black jacket and two pizzas,0.26
48_a woman in a black jacket._4,a woman in a black jacket and two pizzas,0.04
48_a woman and two pizzas._2,a woman in a black jacket and two pizzas,-0.22
48_a woman and two pizzas._3,a woman in a black jacket and two pizzas,-0.43
48_a woman and two pizzas._4,a woman in a black jacket and two pizzas,-0.74
48_a black jacket._1,a woman in a black jacket and two pizzas,-0.26
48_two pizzas._0,a woman in a black jacket and two pizzas,-0.21
48_two pizzas._1,a woman in a black jacket and two pizzas,0.15
48_two pizzas._2,a woman in a black jacket and two pizzas,-0.68
48_two pizzas._3,a woman in a black jacket and two pizzas,-0.57
48_two pizzas._4,a woman in a black jacket and two pizzas,-0.29
48_a woman._0,a woman in a black jacket and two pizzas,-0.16
48_a woman._2,a woman in a black jacket and two pizzas,-0.84
48_a woman._3,a woman in a black jacket and two pizzas,-0.37
coco_800322_stable_diffusion_v2_1,a dog is laying with a remote controller,-1.18
49_a dog is laying._0,a dog is laying with a remote controller,0.21
49_a dog is laying._2,a dog is laying with a remote controller,-0.41
49_a dog is laying._3,a dog is laying with a remote controller,-0.72
49_a dog is laying._4,a dog is laying with a remote controller,-0.92
49_a remote controller._0,a dog is laying with a remote controller,-0.01
49_a remote controller._1,a dog is laying with a remote controller,0.43
49_a remote controller._2,a dog is laying with a remote controller,-0.46
49_a remote controller._3,a dog is laying with a remote controller,0.05
49_a remote controller._4,a dog is laying with a remote controller,-0.47
coco_479450_stable_diffusion_v2_1,A red plate topped with broccoli meat and veggies.,-0.09
50_A red plate topped with broccoli and meat._0,A red plate topped with broccoli meat and veggies.,0.19
50_A red plate topped with broccoli and meat._1,A red plate topped with broccoli meat and veggies.,0.12
50_A red plate topped with broccoli and meat._2,A red plate topped with broccoli meat and veggies.,-0.44
50_A red plate topped with broccoli and meat._3,A red plate topped with broccoli meat and veggies.,0.09
50_A red plate topped with broccoli and meat._4,A red plate topped with broccoli meat and veggies.,0.36
50_A red plate topped with broccoli and veggies._0,A red plate topped with broccoli meat and veggies.,0.08
50_A red plate topped with broccoli and veggies._1,A red plate topped with broccoli meat and veggies.,0.37
50_A red plate topped with broccoli and veggies._3,A red plate topped with broccoli meat and veggies.,0.44
50_A red plate topped with meat and veggies._0,A red plate topped with broccoli meat and veggies.,-0.00
50_A red plate topped with meat and veggies._1,A red plate topped with broccoli meat and veggies.,0.09
50_A red plate topped with meat and veggies._3,A red plate topped with broccoli meat and veggies.,-0.35
"50_Broccoli, meat and veggies._0",A red plate topped with broccoli meat and veggies.,0.20
"50_Broccoli, meat and veggies._1",A red plate topped with broccoli meat and veggies.,0.10
"50_Broccoli, meat and veggies._2",A red plate topped with broccoli meat and veggies.,0.03
"50_Broccoli, meat and veggies._3",A red plate topped with broccoli meat and veggies.,-0.01
"50_Broccoli, meat and veggies._4",A red plate topped with broccoli meat and veggies.,0.12
50_A red plate topped with broccoli._0,A red plate topped with broccoli meat and veggies.,0.21
50_A red plate topped with broccoli._1,A red plate topped with broccoli meat and veggies.,0.50
50_A red plate topped with broccoli._3,A red plate topped with broccoli meat and veggies.,0.47
50_A red plate topped with broccoli._4,A red plate topped with broccoli meat and veggies.,0.10
50_A red plate topped with meat._2,A red plate topped with broccoli meat and veggies.,-0.18
50_A red plate topped with meat._4,A red plate topped with broccoli meat and veggies.,0.30
50_A red plate topped with veggies._0,A red plate topped with broccoli meat and veggies.,-0.51
50_A red plate topped with veggies._1,A red plate topped with broccoli meat and veggies.,-0.03
50_A red plate topped with veggies._2,A red plate topped with broccoli meat and veggies.,-0.39
50_A red plate topped with veggies._3,A red plate topped with broccoli meat and veggies.,0.25
50_A red plate topped with veggies._4,A red plate topped with broccoli meat and veggies.,0.02
50_Broccoli and meat._0,A red plate topped with broccoli meat and veggies.,0.47
50_Broccoli and meat._1,A red plate topped with broccoli meat and veggies.,0.43
50_Broccoli and meat._2,A red plate topped with broccoli meat and veggies.,0.60
50_Broccoli and meat._3,A red plate topped with broccoli meat and veggies.,-0.11
50_Broccoli and meat._4,A red plate topped with broccoli meat and veggies.,0.11
50_Broccoli and veggies._0,A red plate topped with broccoli meat and veggies.,0.72
50_Broccoli and veggies._1,A red plate topped with broccoli meat and veggies.,-0.24
50_Broccoli and veggies._2,A red plate topped with broccoli meat and veggies.,-0.02
50_Broccoli and veggies._3,A red plate topped with broccoli meat and veggies.,0.07
50_Broccoli and veggies._4,A red plate topped with broccoli meat and veggies.,0.44
50_Meat and veggies._0,A red plate topped with broccoli meat and veggies.,0.14
50_Meat and veggies._1,A red plate topped with broccoli meat and veggies.,0.02
50_Meat and veggies._2,A red plate topped with broccoli meat and veggies.,0.25
50_Meat and veggies._3,A red plate topped with broccoli meat and veggies.,-0.50
50_Meat and veggies._4,A red plate topped with broccoli meat and veggies.,0.51
50_Broccoli._0,A red plate topped with broccoli meat and veggies.,0.24
50_Broccoli._1,A red plate topped with broccoli meat and veggies.,0.17
50_Broccoli._2,A red plate topped with broccoli meat and veggies.,-0.29
50_Broccoli._3,A red plate topped with broccoli meat and veggies.,0.30
50_Broccoli._4,A red plate topped with broccoli meat and veggies.,-0.01
50_Meat._1,A red plate topped with broccoli meat and veggies.,0.42
50_Meat._2,A red plate topped with broccoli meat and veggies.,0.18
50_Meat._3,A red plate topped with broccoli meat and veggies.,0.19
50_Meat._4,A red plate topped with broccoli meat and veggies.,-0.29
50_Veggies._0,A red plate topped with broccoli meat and veggies.,-0.02
50_Veggies._1,A red plate topped with broccoli meat and veggies.,-0.80
50_Veggies._2,A red plate topped with broccoli meat and veggies.,-0.19
50_Veggies._3,A red plate topped with broccoli meat and veggies.,-0.53
50_Veggies._4,A red plate topped with broccoli meat and veggies.,-0.27
50_A red plate._0,A red plate topped with broccoli meat and veggies.,-0.64
50_A red plate._1,A red plate topped with broccoli meat and veggies.,0.56
50_A red plate._3,A red plate topped with broccoli meat and veggies.,-0.29
50_A red plate._4,A red plate topped with broccoli meat and veggies.,0.15
coco_494204_stable_diffusion_v2_1,The woman is on the court playing a game of tennis.,-0.86
51_The woman is on the court playing (a game of cricket)._0,The woman is on the court playing a game of tennis.,-0.71
51_The woman is on the court playing (a game of cricket)._1,The woman is on the court playing a game of tennis.,-0.36
51_The woman is on the court playing (a game of cricket)._2,The woman is on the court playing a game of tennis.,0.29
51_The woman is on the court playing (a game of cricket)._3,The woman is on the court playing a game of tennis.,-0.59
51_The woman is on the court playing (a game of cricket)._4,The woman is on the court playing a game of tennis.,-0.17
51_The woman playing a game of tennis._0,The woman is on the court playing a game of tennis.,-0.42
51_The woman playing a game of tennis._1,The woman is on the court playing a game of tennis.,-0.67
51_The woman playing a game of tennis._2,The woman is on the court playing a game of tennis.,-0.61
51_The woman playing a game of tennis._3,The woman is on the court playing a game of tennis.,-0.69
51_The woman playing a game of tennis._4,The woman is on the court playing a game of tennis.,-0.17
51_A woman._0,The woman is on the court playing a game of tennis.,-0.18
51_A woman._2,The woman is on the court playing a game of tennis.,-0.72
51_A woman._3,The woman is on the court playing a game of tennis.,-0.43
51_A woman._4,The woman is on the court playing a game of tennis.,-0.21
51_A game of tennis._1,The woman is on the court playing a game of tennis.,-1.06
51_A court._0,The woman is on the court playing a game of tennis.,-0.50
51_A court._1,The woman is on the court playing a game of tennis.,-0.65
51_A court._2,The woman is on the court playing a game of tennis.,0.23
51_A court._3,The woman is on the court playing a game of tennis.,-0.80
51_A court._4,The woman is on the court playing a game of tennis.,-0.74
coco_816278_stable_diffusion_v2_1,A row of motorcycles parked on the side of a road.,-1.28
52_A row of motorcycles parked (in a ocean)_0,A row of motorcycles parked on the side of a road.,-0.59
52_A row of motorcycles parked (in a ocean)_1,A row of motorcycles parked on the side of a road.,-0.99
