id,prompt,CLIPScore
29_a photo of stop sign._3,a photo of dog and stop sign; stop sign is left to dog,23.22
29_a photo of stop sign._4,a photo of dog and stop sign; stop sign is left to dog,28.79
partiprompt_76_stable_diffusion_v2_1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,41.90
"30_A dignified beaver wearing glasses, and a vest. He stands next to a tall stack of books in a library._0",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,39.23
"30_A dignified beaver wearing glasses, and a vest. He stands next to a tall stack of books in a library._4",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,36.54
"30_A dignified beaver wearing glasses, and colorful neck tie. He stands next to a tall stack of books in a library._0",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,39.96
"30_A dignified beaver wearing glasses, and colorful neck tie. He stands next to a tall stack of books in a library._4",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,32.49
"30_A dignified beaver wearing a vest, and colorful neck tie. He stands next to a tall stack of books in a library._0",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,40.80
"30_A dignified beaver wearing a vest, and colorful neck tie. He stands next to a tall stack of books in a library._4",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,36.53
"30_A dignified beaver wearing glasses, a vest, and colorful neck tie._0",A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,38.23
30_A dignified beaver wearing glasses and colorful neck tie. He stands next to a tall stack of books._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,41.19
30_A dignified beaver wearing glasses and colorful neck tie. He stands next to a tall stack of books._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,38.02
30_A dignified beaver wearing glasses and colorful neck tie._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,34.33
30_A dignified beaver wearing glasses and colorful neck tie._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,34.82
30_A dignified beaver wearing glasses and colorful neck tie._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,36.51
30_A dignified beaver wearing glasses and colorful neck tie._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,36.68
30_A dignified beaver stands next to a tall stack of books in a library._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,36.33
30_A dignified beaver stands next to a tall stack of books in a library._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,36.03
30_A dignified beaver stands next to a tall stack of books in a library._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,35.84
30_A dignified beaver stands next to a tall stack of books in a library._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,34.35
30_A dignified beaver wearing glasses._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,33.25
30_A dignified beaver wearing glasses._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,32.20
30_A dignified beaver wearing glasses._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,31.96
30_A dignified beaver wearing glasses._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,34.17
30_A dignified beaver wearing glasses._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,30.57
30_A dignified beaver wearing a colorful neck tie._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,34.04
30_A dignified beaver wearing a colorful neck tie._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,35.65
30_A dignified beaver wearing a colorful neck tie._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,32.72
30_A dignified beaver wearing a colorful neck tie._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,34.10
30_A dignified beaver wearing a colorful neck tie._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,33.88
30_A tall stack of books in a library._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,26.70
30_A dignified beaver_4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,25.93
30_Glasses._0,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,20.51
30_Glasses._2,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,22.51
30_Glasses._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,19.72
30_Glasses._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,20.52
30_A neck tie._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,23.89
30_A vest._1,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,20.55
30_A vest._3,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,21.30
30_A vest._4,A dignified beaver wearing glasses a vest and colorful neck tie. He stands in a library.,26.26
partiprompt_1250_stable_diffusion_v2_1,a map of Italy,30.96
31_a map._0,a map of Italy,24.32
31_a map._1,a map of Italy,23.67
31_a map._2,a map of Italy,22.62
31_a map._3,a map of Italy,24.44
31_a map._4,a map of Italy,25.30
partiprompt_1053_stable_diffusion_v2_1,a pair of glasses in front of a computer monitor,31.34
32_a pair of glasses._0,a pair of glasses in front of a computer monitor,31.42
32_a pair of glasses._1,a pair of glasses in front of a computer monitor,31.00
32_a pair of glasses._2,a pair of glasses in front of a computer monitor,31.05
32_a pair of glasses._4,a pair of glasses in front of a computer monitor,30.38
32_a computer monitor._0,a pair of glasses in front of a computer monitor,26.18
32_a computer monitor._2,a pair of glasses in front of a computer monitor,28.39
32_a computer monitor._3,a pair of glasses in front of a computer monitor,29.37
32_a computer monitor._4,a pair of glasses in front of a computer monitor,31.09
partiprompt_1028_stable_diffusion_v2_1,an ostrich standing in front of a couch,39.37
33_an ostrich standing._0,an ostrich standing in front of a couch,28.28
33_an ostrich standing._2,an ostrich standing in front of a couch,29.93
33_an ostrich standing._3,an ostrich standing in front of a couch,30.12
33_an ostrich standing._4,an ostrich standing in front of a couch,30.80
33_a couch._0,an ostrich standing in front of a couch,24.28
33_a couch._1,an ostrich standing in front of a couch,27.87
33_a couch._2,an ostrich standing in front of a couch,28.28
33_a couch._3,an ostrich standing in front of a couch,26.13
33_a couch._4,an ostrich standing in front of a couch,25.43
paintskill_110_stable_diffusion_v2_1,a photo of bed and human; human is right to bed,29.05
34_a photo of bed._0,a photo of bed and human; human is right to bed,27.88
34_a photo of bed._1,a photo of bed and human; human is right to bed,27.54
34_a photo of bed._2,a photo of bed and human; human is right to bed,25.16
34_a photo of bed._3,a photo of bed and human; human is right to bed,28.76
34_a photo of bed._4,a photo of bed and human; human is right to bed,28.18
34_a photo of human._0,a photo of bed and human; human is right to bed,25.07
34_a photo of human._1,a photo of bed and human; human is right to bed,22.09
34_a photo of human._2,a photo of bed and human; human is right to bed,24.35
34_a photo of human._3,a photo of bed and human; human is right to bed,23.19
34_a photo of human._4,a photo of bed and human; human is right to bed,20.88
drawbench_155_stable_diffusion_v2_1,A car playing with a soccer player digital art.,35.23
"35_A car, digital art._0",A car playing with a soccer player digital art.,27.51
"35_A car, digital art._1",A car playing with a soccer player digital art.,27.92
"35_A car, digital art._2",A car playing with a soccer player digital art.,26.27
"35_A car, digital art._3",A car playing with a soccer player digital art.,25.61
"35_A car, digital art._4",A car playing with a soccer player digital art.,29.39
"35_A soccer player, digital art._0",A car playing with a soccer player digital art.,31.38
"35_A soccer player, digital art._1",A car playing with a soccer player digital art.,31.42
"35_A soccer player, digital art._2",A car playing with a soccer player digital art.,34.25
"35_A soccer player, digital art._3",A car playing with a soccer player digital art.,32.86
"35_A soccer player, digital art._4",A car playing with a soccer player digital art.,31.46
partiprompt_1012_stable_diffusion_v2_1,a mountain with a cloud hanging over it,30.95
36_a mountain _0,a mountain with a cloud hanging over it,28.92
36_a mountain _1,a mountain with a cloud hanging over it,26.46
36_a mountain _3,a mountain with a cloud hanging over it,25.08
36_a cloud hanging over_0,a mountain with a cloud hanging over it,25.70
36_a cloud hanging over_1,a mountain with a cloud hanging over it,27.36
36_a cloud hanging over_2,a mountain with a cloud hanging over it,27.05
36_a cloud hanging over_3,a mountain with a cloud hanging over it,26.51
36_a cloud hanging over_4,a mountain with a cloud hanging over it,25.31
partiprompt_555_stable_diffusion_v2_1,an espresso machine that makes coffee.,33.22
37_an espresso machine._0,an espresso machine that makes coffee.,31.24
37_an espresso machine._1,an espresso machine that makes coffee.,33.29
37_an espresso machine._2,an espresso machine that makes coffee.,29.92
37_an espresso machine._3,an espresso machine that makes coffee.,32.58
37_an espresso machine._4,an espresso machine that makes coffee.,31.85
37_coffee._0,an espresso machine that makes coffee.,25.02
37_coffee._1,an espresso machine that makes coffee.,26.50
37_coffee._2,an espresso machine that makes coffee.,26.58
37_coffee._4,an espresso machine that makes coffee.,27.15
partiprompt_504_stable_diffusion_v2_1,The sun behind a skyscraper. painting in the style of Hokusai.,31.11
38_A skyscraper. painting in the style of Hokusai._0,The sun behind a skyscraper. painting in the style of Hokusai.,28.66
38_A skyscraper. painting in the style of Hokusai._1,The sun behind a skyscraper. painting in the style of Hokusai.,32.41
38_A skyscraper. painting in the style of Hokusai._2,The sun behind a skyscraper. painting in the style of Hokusai.,32.40
38_A skyscraper. painting in the style of Hokusai._3,The sun behind a skyscraper. painting in the style of Hokusai.,31.64
38_A skyscraper. painting in the style of Hokusai._4,The sun behind a skyscraper. painting in the style of Hokusai.,30.84
38_The sun. painting in the style of Hokusai._0,The sun behind a skyscraper. painting in the style of Hokusai.,30.58
38_The sun. painting in the style of Hokusai._1,The sun behind a skyscraper. painting in the style of Hokusai.,31.80
38_The sun. painting in the style of Hokusai._2,The sun behind a skyscraper. painting in the style of Hokusai.,33.09
38_The sun. painting in the style of Hokusai._4,The sun behind a skyscraper. painting in the style of Hokusai.,30.47
partiprompt_607_stable_diffusion_v2_1,red apples on a tree with green leaves,32.29
39_square red apples on a tree._0,red apples on a tree with green leaves,34.11
39_square red apples on a tree._1,red apples on a tree with green leaves,33.26
39_square red apples on a tree._2,red apples on a tree with green leaves,29.70
39_square red apples on a tree._3,red apples on a tree with green leaves,32.41
39_square red apples on a tree._4,red apples on a tree with green leaves,32.62
39_red apples with green leaves._0,red apples on a tree with green leaves,29.88
39_red apples with green leaves._1,red apples on a tree with green leaves,30.82
39_red apples with green leaves._2,red apples on a tree with green leaves,29.45
39_red apples with green leaves._3,red apples on a tree with green leaves,30.98
39_red apples with green leaves._4,red apples on a tree with green leaves,30.32
39_tree with green leaves._0,red apples on a tree with green leaves,24.72
39_tree with green leaves._1,red apples on a tree with green leaves,21.63
39_tree with green leaves._2,red apples on a tree with green leaves,22.34
39_tree with green leaves._3,red apples on a tree with green leaves,25.01
39_tree with green leaves._4,red apples on a tree with green leaves,22.44
39_red apples._0,red apples on a tree with green leaves,27.90
39_red apples._2,red apples on a tree with green leaves,24.01
39_red apples._3,red apples on a tree with green leaves,26.73
39_red apples._4,red apples on a tree with green leaves,26.31
39_a tree._0,red apples on a tree with green leaves,20.35
39_a tree._1,red apples on a tree with green leaves,18.45
39_a tree._2,red apples on a tree with green leaves,20.43
39_a tree._3,red apples on a tree with green leaves,19.84
39_green leaves._0,red apples on a tree with green leaves,21.80
39_green leaves._1,red apples on a tree with green leaves,19.70
39_green leaves._2,red apples on a tree with green leaves,19.39
39_green leaves._3,red apples on a tree with green leaves,22.06
39_green leaves._4,red apples on a tree with green leaves,19.20
coco_290223_stable_diffusion_v2_1,An assortment of fruits and vegetable all set together,27.94
40_An assortment of fruits._0,An assortment of fruits and vegetable all set together,29.50
40_An assortment of fruits._1,An assortment of fruits and vegetable all set together,28.33
40_An assortment of fruits._2,An assortment of fruits and vegetable all set together,27.89
40_An assortment of fruits._3,An assortment of fruits and vegetable all set together,28.07
40_An assortment of fruits._4,An assortment of fruits and vegetable all set together,28.91
40_An assortment of vegetable._0,An assortment of fruits and vegetable all set together,27.77
40_An assortment of vegetable._1,An assortment of fruits and vegetable all set together,27.77
40_An assortment of vegetable._2,An assortment of fruits and vegetable all set together,27.27
40_An assortment of vegetable._3,An assortment of fruits and vegetable all set together,27.79
40_An assortment of vegetable._4,An assortment of fruits and vegetable all set together,28.51
coco_366619_stable_diffusion_v2_1,People walking down a city sidewalk showing one with headphones.,28.30
41_People walking down a city sidewalk._0,People walking down a city sidewalk showing one with headphones.,28.32
41_People walking down a city sidewalk._1,People walking down a city sidewalk showing one with headphones.,30.71
41_People walking down a city sidewalk._2,People walking down a city sidewalk showing one with headphones.,28.10
41_People walking down a city sidewalk._3,People walking down a city sidewalk showing one with headphones.,28.90
41_People walking down a city sidewalk._4,People walking down a city sidewalk showing one with headphones.,28.22
41_headphones on a city sidewalk._0,People walking down a city sidewalk showing one with headphones.,29.19
41_headphones on a city sidewalk._1,People walking down a city sidewalk showing one with headphones.,31.69
41_headphones on a city sidewalk._3,People walking down a city sidewalk showing one with headphones.,28.19
41_headphones on a city sidewalk._4,People walking down a city sidewalk showing one with headphones.,26.53
41_People walking down with headphones._0,People walking down a city sidewalk showing one with headphones.,28.42
41_People walking down with headphones._2,People walking down a city sidewalk showing one with headphones.,30.18
41_People walking down with headphones._3,People walking down a city sidewalk showing one with headphones.,31.07
41_People walking._0,People walking down a city sidewalk showing one with headphones.,26.88
41_People walking._1,People walking down a city sidewalk showing one with headphones.,27.44
41_People walking._2,People walking down a city sidewalk showing one with headphones.,27.17
41_People walking._3,People walking down a city sidewalk showing one with headphones.,27.93
41_People walking._4,People walking down a city sidewalk showing one with headphones.,29.13
41_A city sidewalk._0,People walking down a city sidewalk showing one with headphones.,25.58
41_A city sidewalk._2,People walking down a city sidewalk showing one with headphones.,26.06
41_A city sidewalk._3,People walking down a city sidewalk showing one with headphones.,28.18
41_A city sidewalk._4,People walking down a city sidewalk showing one with headphones.,25.55
41_headphones._0,People walking down a city sidewalk showing one with headphones.,25.23
41_headphones._1,People walking down a city sidewalk showing one with headphones.,24.54
41_headphones._3,People walking down a city sidewalk showing one with headphones.,25.72
41_headphones._4,People walking down a city sidewalk showing one with headphones.,24.31
coco_666114_stable_diffusion_v2_1,A little boy kicks a soccer ball surrounded by other youth soccer players.,30.94
42_A little boy surrounded by other youth soccer players._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,31.47
42_A little boy kicks a soccer ball._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,30.78
42_A little boy kicks a soccer ball._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,32.21
42_A little boy kicks a soccer ball._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,29.55
42_A little boy._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,20.45
42_A little boy._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,21.46
42_A little boy._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,18.73
42_A little boy._3,A little boy kicks a soccer ball surrounded by other youth soccer players.,19.80
42_A little boy._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,19.49
42_Youth soccer players._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,31.06
42_Youth soccer players._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,32.51
42_Youth soccer players._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,33.00
42_A soccer ball._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,25.34
42_A soccer ball._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,26.23
42_A soccer ball._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,29.56
42_A soccer ball._3,A little boy kicks a soccer ball surrounded by other youth soccer players.,27.58
42_A soccer ball._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,27.26
coco_694975_stable_diffusion_v2_1,man with a tennis racket,29.01
43_a tennis racket._0,man with a tennis racket,24.04
43_a tennis racket._1,man with a tennis racket,28.72
43_a tennis racket._2,man with a tennis racket,26.90
43_a tennis racket._3,man with a tennis racket,26.84
43_a man._4,man with a tennis racket,21.30
coco_817577_stable_diffusion_v2_1,A baseball player running to a base during a game at night.,33.79
44_A baseball player running._0,A baseball player running to a base during a game at night.,29.23
44_A baseball player running._1,A baseball player running to a base during a game at night.,23.95
44_A baseball player running._2,A baseball player running to a base during a game at night.,28.98
44_A baseball player running._3,A baseball player running to a base during a game at night.,27.22
44_A baseball player running._4,A baseball player running to a base during a game at night.,30.03
44_A base during a game at night._0,A baseball player running to a base during a game at night.,28.62
44_A base during a game at night._1,A baseball player running to a base during a game at night.,28.43
44_A base during a game at night._2,A baseball player running to a base during a game at night.,28.59
44_A base during a game at night._4,A baseball player running to a base during a game at night.,24.98
45_a group of snow skiers._0,a group of beginner snow skiers having class,34.18
45_a group of snow skiers._1,a group of beginner snow skiers having class,32.46
45_a group of snow skiers._2,a group of beginner snow skiers having class,35.19
45_a group of snow skiers._3,a group of beginner snow skiers having class,32.64
45_a group of snow skiers._4,a group of beginner snow skiers having class,32.99
45_a class._0,a group of beginner snow skiers having class,24.37
45_a class._1,a group of beginner snow skiers having class,20.98
45_a class._2,a group of beginner snow skiers having class,23.94
45_a class._3,a group of beginner snow skiers having class,21.24
45_a class._4,a group of beginner snow skiers having class,20.22
coco_54581_stable_diffusion_v2_1,A group of surfers are carrying their surf boards into the ocean.,31.31
46_A group of surfers are carrying their surf boards (in a field)._0,A group of surfers are carrying their surf boards into the ocean.,30.50
46_A group of surfers are carrying their surf boards (in a field)._1,A group of surfers are carrying their surf boards into the ocean.,30.79
46_A group of surfers are carrying their surf boards (in a field)._2,A group of surfers are carrying their surf boards into the ocean.,31.52
46_A group of surfers are carrying their surf boards (in a field)._3,A group of surfers are carrying their surf boards into the ocean.,31.20
46_A group of surfers are carrying their surf boards (in a field)._4,A group of surfers are carrying their surf boards into the ocean.,31.14
46_A group of surfers in the ocean._0,A group of surfers are carrying their surf boards into the ocean.,32.05
46_A group of surfers in the ocean._1,A group of surfers are carrying their surf boards into the ocean.,32.21
46_A group of surfers in the ocean._2,A group of surfers are carrying their surf boards into the ocean.,32.38
46_A group of surfers in the ocean._3,A group of surfers are carrying their surf boards into the ocean.,31.50
46_A group of surfers in the ocean._4,A group of surfers are carrying their surf boards into the ocean.,31.20
46_Surf boards into the ocean._0,A group of surfers are carrying their surf boards into the ocean.,30.00
46_Surf boards into the ocean._2,A group of surfers are carrying their surf boards into the ocean.,30.77
46_Surf boards into the ocean._3,A group of surfers are carrying their surf boards into the ocean.,30.48
46_Surf boards into the ocean._4,A group of surfers are carrying their surf boards into the ocean.,27.46
46_A group of surfers._0,A group of surfers are carrying their surf boards into the ocean.,32.55
46_A group of surfers._1,A group of surfers are carrying their surf boards into the ocean.,29.45
46_A group of surfers._2,A group of surfers are carrying their surf boards into the ocean.,32.54
46_A group of surfers._3,A group of surfers are carrying their surf boards into the ocean.,31.03
46_A group of surfers._4,A group of surfers are carrying their surf boards into the ocean.,30.12
46_Surf boards._0,A group of surfers are carrying their surf boards into the ocean.,29.14
46_Surf boards._1,A group of surfers are carrying their surf boards into the ocean.,29.13
46_Surf boards._2,A group of surfers are carrying their surf boards into the ocean.,27.45
46_Surf boards._3,A group of surfers are carrying their surf boards into the ocean.,28.05
46_Surf boards._4,A group of surfers are carrying their surf boards into the ocean.,28.43
46_Ocean._4,A group of surfers are carrying their surf boards into the ocean.,23.67
coco_555553_stable_diffusion_v2_1,Zebras eat hay in black and white.,32.50
47_zebras  in black and white._1,Zebras eat hay in black and white.,32.53
47_Hay in black and white._0,Zebras eat hay in black and white.,29.19
47_Hay in black and white._1,Zebras eat hay in black and white.,27.69
47_Hay in black and white._2,Zebras eat hay in black and white.,29.48
47_Hay in black and white._3,Zebras eat hay in black and white.,27.45
47_Hay in black and white._4,Zebras eat hay in black and white.,30.12
coco_544405_stable_diffusion_v2_1,a woman in a black jacket and two pizzas,33.93
48_a woman in a black jacket._0,a woman in a black jacket and two pizzas,24.33
48_a woman in a black jacket._1,a woman in a black jacket and two pizzas,22.21
48_a woman in a black jacket._2,a woman in a black jacket and two pizzas,24.68
48_a woman in a black jacket._4,a woman in a black jacket and two pizzas,26.64
48_a woman and two pizzas._2,a woman in a black jacket and two pizzas,30.00
48_a woman and two pizzas._3,a woman in a black jacket and two pizzas,28.83
48_a woman and two pizzas._4,a woman in a black jacket and two pizzas,28.47
48_a black jacket._1,a woman in a black jacket and two pizzas,19.56
48_two pizzas._0,a woman in a black jacket and two pizzas,24.97
48_two pizzas._1,a woman in a black jacket and two pizzas,24.16
48_two pizzas._2,a woman in a black jacket and two pizzas,26.80
48_two pizzas._3,a woman in a black jacket and two pizzas,24.26
48_two pizzas._4,a woman in a black jacket and two pizzas,23.51
48_a woman._0,a woman in a black jacket and two pizzas,18.88
48_a woman._2,a woman in a black jacket and two pizzas,17.16
48_a woman._3,a woman in a black jacket and two pizzas,20.57
coco_800322_stable_diffusion_v2_1,a dog is laying with a remote controller,34.78
49_a dog is laying._0,a dog is laying with a remote controller,24.74
49_a dog is laying._2,a dog is laying with a remote controller,24.26
49_a dog is laying._3,a dog is laying with a remote controller,25.29
49_a dog is laying._4,a dog is laying with a remote controller,24.77
49_a remote controller._0,a dog is laying with a remote controller,23.58
49_a remote controller._1,a dog is laying with a remote controller,25.19
49_a remote controller._2,a dog is laying with a remote controller,24.38
49_a remote controller._3,a dog is laying with a remote controller,22.84
49_a remote controller._4,a dog is laying with a remote controller,24.97
coco_479450_stable_diffusion_v2_1,A red plate topped with broccoli meat and veggies.,34.85
50_A red plate topped with broccoli and meat._0,A red plate topped with broccoli meat and veggies.,33.72
50_A red plate topped with broccoli and meat._1,A red plate topped with broccoli meat and veggies.,37.48
50_A red plate topped with broccoli and meat._2,A red plate topped with broccoli meat and veggies.,34.82
50_A red plate topped with broccoli and meat._3,A red plate topped with broccoli meat and veggies.,33.55
50_A red plate topped with broccoli and meat._4,A red plate topped with broccoli meat and veggies.,32.29
50_A red plate topped with broccoli and veggies._0,A red plate topped with broccoli meat and veggies.,30.99
50_A red plate topped with broccoli and veggies._1,A red plate topped with broccoli meat and veggies.,31.69
50_A red plate topped with broccoli and veggies._3,A red plate topped with broccoli meat and veggies.,32.15
50_A red plate topped with meat and veggies._0,A red plate topped with broccoli meat and veggies.,34.63
50_A red plate topped with meat and veggies._1,A red plate topped with broccoli meat and veggies.,31.86
50_A red plate topped with meat and veggies._3,A red plate topped with broccoli meat and veggies.,29.50
"50_Broccoli, meat and veggies._0",A red plate topped with broccoli meat and veggies.,30.26
"50_Broccoli, meat and veggies._1",A red plate topped with broccoli meat and veggies.,32.90
"50_Broccoli, meat and veggies._2",A red plate topped with broccoli meat and veggies.,27.38
"50_Broccoli, meat and veggies._3",A red plate topped with broccoli meat and veggies.,30.08
"50_Broccoli, meat and veggies._4",A red plate topped with broccoli meat and veggies.,31.11
50_A red plate topped with broccoli._0,A red plate topped with broccoli meat and veggies.,30.28
50_A red plate topped with broccoli._1,A red plate topped with broccoli meat and veggies.,30.47
50_A red plate topped with broccoli._3,A red plate topped with broccoli meat and veggies.,31.30
50_A red plate topped with broccoli._4,A red plate topped with broccoli meat and veggies.,30.72
50_A red plate topped with meat._2,A red plate topped with broccoli meat and veggies.,25.44
50_A red plate topped with meat._4,A red plate topped with broccoli meat and veggies.,26.90
50_A red plate topped with veggies._0,A red plate topped with broccoli meat and veggies.,29.91
50_A red plate topped with veggies._1,A red plate topped with broccoli meat and veggies.,32.42
50_A red plate topped with veggies._2,A red plate topped with broccoli meat and veggies.,27.47
50_A red plate topped with veggies._3,A red plate topped with broccoli meat and veggies.,31.94
50_A red plate topped with veggies._4,A red plate topped with broccoli meat and veggies.,26.26
50_Broccoli and meat._0,A red plate topped with broccoli meat and veggies.,32.60
50_Broccoli and meat._1,A red plate topped with broccoli meat and veggies.,31.55
50_Broccoli and meat._2,A red plate topped with broccoli meat and veggies.,30.64
50_Broccoli and meat._3,A red plate topped with broccoli meat and veggies.,30.39
50_Broccoli and meat._4,A red plate topped with broccoli meat and veggies.,28.92
50_Broccoli and veggies._0,A red plate topped with broccoli meat and veggies.,26.89
50_Broccoli and veggies._1,A red plate topped with broccoli meat and veggies.,28.36
50_Broccoli and veggies._2,A red plate topped with broccoli meat and veggies.,26.99
50_Broccoli and veggies._3,A red plate topped with broccoli meat and veggies.,25.23
50_Broccoli and veggies._4,A red plate topped with broccoli meat and veggies.,28.25
50_Meat and veggies._0,A red plate topped with broccoli meat and veggies.,24.54
50_Meat and veggies._1,A red plate topped with broccoli meat and veggies.,29.11
50_Meat and veggies._2,A red plate topped with broccoli meat and veggies.,24.84
50_Meat and veggies._3,A red plate topped with broccoli meat and veggies.,27.45
50_Meat and veggies._4,A red plate topped with broccoli meat and veggies.,26.14
50_Broccoli._0,A red plate topped with broccoli meat and veggies.,25.74
50_Broccoli._1,A red plate topped with broccoli meat and veggies.,25.15
50_Broccoli._2,A red plate topped with broccoli meat and veggies.,25.45
50_Broccoli._3,A red plate topped with broccoli meat and veggies.,26.03
50_Broccoli._4,A red plate topped with broccoli meat and veggies.,24.26
50_Meat._1,A red plate topped with broccoli meat and veggies.,20.35
50_Meat._2,A red plate topped with broccoli meat and veggies.,20.94
50_Meat._3,A red plate topped with broccoli meat and veggies.,20.30
50_Meat._4,A red plate topped with broccoli meat and veggies.,20.23
50_Veggies._0,A red plate topped with broccoli meat and veggies.,24.39
50_Veggies._1,A red plate topped with broccoli meat and veggies.,23.24
50_Veggies._2,A red plate topped with broccoli meat and veggies.,21.57
50_Veggies._3,A red plate topped with broccoli meat and veggies.,23.19
50_Veggies._4,A red plate topped with broccoli meat and veggies.,24.12
50_A red plate._0,A red plate topped with broccoli meat and veggies.,24.45
50_A red plate._1,A red plate topped with broccoli meat and veggies.,22.63
50_A red plate._3,A red plate topped with broccoli meat and veggies.,18.94
50_A red plate._4,A red plate topped with broccoli meat and veggies.,20.96
coco_494204_stable_diffusion_v2_1,The woman is on the court playing a game of tennis.,29.93
51_The woman is on the court playing (a game of cricket)._0,The woman is on the court playing a game of tennis.,22.41
51_The woman is on the court playing (a game of cricket)._1,The woman is on the court playing a game of tennis.,25.31
51_The woman is on the court playing (a game of cricket)._2,The woman is on the court playing a game of tennis.,22.23
51_The woman is on the court playing (a game of cricket)._3,The woman is on the court playing a game of tennis.,23.20
51_The woman is on the court playing (a game of cricket)._4,The woman is on the court playing a game of tennis.,22.23
51_The woman playing a game of tennis._0,The woman is on the court playing a game of tennis.,27.79
51_The woman playing a game of tennis._1,The woman is on the court playing a game of tennis.,29.90
51_The woman playing a game of tennis._2,The woman is on the court playing a game of tennis.,31.89
51_The woman playing a game of tennis._3,The woman is on the court playing a game of tennis.,29.04
51_The woman playing a game of tennis._4,The woman is on the court playing a game of tennis.,26.84
51_A woman._0,The woman is on the court playing a game of tennis.,21.70
51_A woman._2,The woman is on the court playing a game of tennis.,20.89
51_A woman._3,The woman is on the court playing a game of tennis.,22.77
51_A woman._4,The woman is on the court playing a game of tennis.,24.16
51_A game of tennis._1,The woman is on the court playing a game of tennis.,27.98
51_A court._0,The woman is on the court playing a game of tennis.,22.21
51_A court._1,The woman is on the court playing a game of tennis.,19.45
51_A court._2,The woman is on the court playing a game of tennis.,23.52
51_A court._3,The woman is on the court playing a game of tennis.,17.69
51_A court._4,The woman is on the court playing a game of tennis.,25.71
coco_816278_stable_diffusion_v2_1,A row of motorcycles parked on the side of a road.,34.65
52_A row of motorcycles parked (in a ocean)_0,A row of motorcycles parked on the side of a road.,30.46
52_A row of motorcycles parked (in a ocean)_1,A row of motorcycles parked on the side of a road.,28.75
52_A row of motorcycles parked (in a ocean)_2,A row of motorcycles parked on the side of a road.,30.61
52_A row of motorcycles parked (in a ocean)_3,A row of motorcycles parked on the side of a road.,30.16
52_The side of a road._0,A row of motorcycles parked on the side of a road.,21.08
52_The side of a road._1,A row of motorcycles parked on the side of a road.,23.34
52_The side of a road._2,A row of motorcycles parked on the side of a road.,22.19
