id,prompt,ALIGNSCore
36_a cloud hanging over_4,a mountain with a cloud hanging over it,9.39
partiprompt_555_stable_diffusion_v2_1,an espresso machine that makes coffee.,14.78
37_an espresso machine._0,an espresso machine that makes coffee.,14.81
37_an espresso machine._1,an espresso machine that makes coffee.,14.96
37_an espresso machine._2,an espresso machine that makes coffee.,15.81
37_an espresso machine._3,an espresso machine that makes coffee.,15.81
37_an espresso machine._4,an espresso machine that makes coffee.,14.78
37_coffee._0,an espresso machine that makes coffee.,10.17
37_coffee._1,an espresso machine that makes coffee.,7.96
37_coffee._2,an espresso machine that makes coffee.,8.12
37_coffee._4,an espresso machine that makes coffee.,8.21
partiprompt_504_stable_diffusion_v2_1,The sun behind a skyscraper. painting in the style of Hokusai.,17.84
38_A skyscraper. painting in the style of Hokusai._0,The sun behind a skyscraper. painting in the style of Hokusai.,16.16
38_A skyscraper. painting in the style of Hokusai._1,The sun behind a skyscraper. painting in the style of Hokusai.,16.82
38_A skyscraper. painting in the style of Hokusai._2,The sun behind a skyscraper. painting in the style of Hokusai.,14.06
38_A skyscraper. painting in the style of Hokusai._3,The sun behind a skyscraper. painting in the style of Hokusai.,17.24
38_A skyscraper. painting in the style of Hokusai._4,The sun behind a skyscraper. painting in the style of Hokusai.,16.83
38_The sun. painting in the style of Hokusai._0,The sun behind a skyscraper. painting in the style of Hokusai.,13.18
38_The sun. painting in the style of Hokusai._1,The sun behind a skyscraper. painting in the style of Hokusai.,14.52
38_The sun. painting in the style of Hokusai._2,The sun behind a skyscraper. painting in the style of Hokusai.,14.82
38_The sun. painting in the style of Hokusai._4,The sun behind a skyscraper. painting in the style of Hokusai.,13.79
partiprompt_607_stable_diffusion_v2_1,red apples on a tree with green leaves,16.86
39_square red apples on a tree._0,red apples on a tree with green leaves,15.97
39_square red apples on a tree._1,red apples on a tree with green leaves,17.22
39_square red apples on a tree._2,red apples on a tree with green leaves,17.10
39_square red apples on a tree._3,red apples on a tree with green leaves,16.43
39_square red apples on a tree._4,red apples on a tree with green leaves,17.62
39_red apples with green leaves._0,red apples on a tree with green leaves,14.27
39_red apples with green leaves._1,red apples on a tree with green leaves,14.05
39_red apples with green leaves._2,red apples on a tree with green leaves,14.03
39_red apples with green leaves._3,red apples on a tree with green leaves,13.91
39_red apples with green leaves._4,red apples on a tree with green leaves,15.13
39_tree with green leaves._0,red apples on a tree with green leaves,4.89
39_tree with green leaves._1,red apples on a tree with green leaves,7.36
39_tree with green leaves._2,red apples on a tree with green leaves,8.73
39_tree with green leaves._3,red apples on a tree with green leaves,8.58
39_tree with green leaves._4,red apples on a tree with green leaves,7.00
39_red apples._0,red apples on a tree with green leaves,11.95
39_red apples._2,red apples on a tree with green leaves,10.25
39_red apples._3,red apples on a tree with green leaves,11.80
39_red apples._4,red apples on a tree with green leaves,12.30
39_a tree._0,red apples on a tree with green leaves,4.16
39_a tree._1,red apples on a tree with green leaves,3.34
39_a tree._2,red apples on a tree with green leaves,4.14
39_a tree._3,red apples on a tree with green leaves,3.33
39_green leaves._0,red apples on a tree with green leaves,4.46
39_green leaves._1,red apples on a tree with green leaves,1.88
39_green leaves._2,red apples on a tree with green leaves,4.57
39_green leaves._3,red apples on a tree with green leaves,3.89
39_green leaves._4,red apples on a tree with green leaves,4.19
coco_290223_stable_diffusion_v2_1,An assortment of fruits and vegetable all set together,16.77
40_An assortment of fruits._0,An assortment of fruits and vegetable all set together,15.85
40_An assortment of fruits._1,An assortment of fruits and vegetable all set together,14.43
40_An assortment of fruits._2,An assortment of fruits and vegetable all set together,15.31
40_An assortment of fruits._3,An assortment of fruits and vegetable all set together,13.32
40_An assortment of fruits._4,An assortment of fruits and vegetable all set together,15.53
40_An assortment of vegetable._0,An assortment of fruits and vegetable all set together,15.45
40_An assortment of vegetable._1,An assortment of fruits and vegetable all set together,15.41
40_An assortment of vegetable._2,An assortment of fruits and vegetable all set together,15.36
40_An assortment of vegetable._3,An assortment of fruits and vegetable all set together,15.21
40_An assortment of vegetable._4,An assortment of fruits and vegetable all set together,15.63
coco_366619_stable_diffusion_v2_1,People walking down a city sidewalk showing one with headphones.,18.22
41_People walking down a city sidewalk._0,People walking down a city sidewalk showing one with headphones.,14.23
41_People walking down a city sidewalk._1,People walking down a city sidewalk showing one with headphones.,14.58
41_People walking down a city sidewalk._2,People walking down a city sidewalk showing one with headphones.,15.12
41_People walking down a city sidewalk._3,People walking down a city sidewalk showing one with headphones.,16.48
41_People walking down a city sidewalk._4,People walking down a city sidewalk showing one with headphones.,15.83
41_headphones on a city sidewalk._0,People walking down a city sidewalk showing one with headphones.,12.11
41_headphones on a city sidewalk._1,People walking down a city sidewalk showing one with headphones.,11.93
41_headphones on a city sidewalk._3,People walking down a city sidewalk showing one with headphones.,13.62
41_headphones on a city sidewalk._4,People walking down a city sidewalk showing one with headphones.,15.21
41_People walking down with headphones._0,People walking down a city sidewalk showing one with headphones.,17.74
41_People walking down with headphones._2,People walking down a city sidewalk showing one with headphones.,20.10
41_People walking down with headphones._3,People walking down a city sidewalk showing one with headphones.,19.05
41_People walking._0,People walking down a city sidewalk showing one with headphones.,10.34
41_People walking._1,People walking down a city sidewalk showing one with headphones.,9.58
41_People walking._2,People walking down a city sidewalk showing one with headphones.,10.99
41_People walking._3,People walking down a city sidewalk showing one with headphones.,9.68
41_People walking._4,People walking down a city sidewalk showing one with headphones.,13.73
41_A city sidewalk._0,People walking down a city sidewalk showing one with headphones.,11.71
41_A city sidewalk._2,People walking down a city sidewalk showing one with headphones.,11.09
41_A city sidewalk._3,People walking down a city sidewalk showing one with headphones.,9.64
41_A city sidewalk._4,People walking down a city sidewalk showing one with headphones.,9.35
41_headphones._0,People walking down a city sidewalk showing one with headphones.,9.09
41_headphones._1,People walking down a city sidewalk showing one with headphones.,9.62
41_headphones._3,People walking down a city sidewalk showing one with headphones.,10.00
41_headphones._4,People walking down a city sidewalk showing one with headphones.,10.42
coco_666114_stable_diffusion_v2_1,A little boy kicks a soccer ball surrounded by other youth soccer players.,17.73
42_A little boy surrounded by other youth soccer players._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,16.46
42_A little boy kicks a soccer ball._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,13.69
42_A little boy kicks a soccer ball._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,14.25
42_A little boy kicks a soccer ball._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,14.89
42_A little boy._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,5.84
42_A little boy._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,5.06
42_A little boy._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,6.45
42_A little boy._3,A little boy kicks a soccer ball surrounded by other youth soccer players.,4.96
42_A little boy._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,4.99
42_Youth soccer players._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,14.83
42_Youth soccer players._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,16.01
42_Youth soccer players._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,16.04
42_A soccer ball._0,A little boy kicks a soccer ball surrounded by other youth soccer players.,8.54
42_A soccer ball._1,A little boy kicks a soccer ball surrounded by other youth soccer players.,9.62
42_A soccer ball._2,A little boy kicks a soccer ball surrounded by other youth soccer players.,8.65
42_A soccer ball._3,A little boy kicks a soccer ball surrounded by other youth soccer players.,9.17
42_A soccer ball._4,A little boy kicks a soccer ball surrounded by other youth soccer players.,10.10
coco_694975_stable_diffusion_v2_1,man with a tennis racket,18.29
43_a tennis racket._0,man with a tennis racket,11.16
43_a tennis racket._1,man with a tennis racket,7.26
43_a tennis racket._2,man with a tennis racket,12.82
43_a tennis racket._3,man with a tennis racket,13.00
43_a man._4,man with a tennis racket,8.34
coco_817577_stable_diffusion_v2_1,A baseball player running to a base during a game at night.,16.76
44_A baseball player running._0,A baseball player running to a base during a game at night.,11.62
44_A baseball player running._1,A baseball player running to a base during a game at night.,16.18
44_A baseball player running._2,A baseball player running to a base during a game at night.,15.23
44_A baseball player running._3,A baseball player running to a base during a game at night.,14.57
44_A baseball player running._4,A baseball player running to a base during a game at night.,14.29
44_A base during a game at night._0,A baseball player running to a base during a game at night.,13.78
44_A base during a game at night._1,A baseball player running to a base during a game at night.,15.43
44_A base during a game at night._2,A baseball player running to a base during a game at night.,13.20
44_A base during a game at night._4,A baseball player running to a base during a game at night.,11.83
45_a group of snow skiers._0,a group of beginner snow skiers having class,17.39
45_a group of snow skiers._1,a group of beginner snow skiers having class,15.19
45_a group of snow skiers._2,a group of beginner snow skiers having class,18.58
45_a group of snow skiers._3,a group of beginner snow skiers having class,17.10
45_a group of snow skiers._4,a group of beginner snow skiers having class,16.29
45_a class._0,a group of beginner snow skiers having class,4.73
45_a class._1,a group of beginner snow skiers having class,5.28
45_a class._2,a group of beginner snow skiers having class,6.57
45_a class._3,a group of beginner snow skiers having class,5.72
45_a class._4,a group of beginner snow skiers having class,4.04
coco_54581_stable_diffusion_v2_1,A group of surfers are carrying their surf boards into the ocean.,18.56
46_A group of surfers are carrying their surf boards (in a field)._0,A group of surfers are carrying their surf boards into the ocean.,16.12
46_A group of surfers are carrying their surf boards (in a field)._1,A group of surfers are carrying their surf boards into the ocean.,15.54
46_A group of surfers are carrying their surf boards (in a field)._2,A group of surfers are carrying their surf boards into the ocean.,16.61
46_A group of surfers are carrying their surf boards (in a field)._3,A group of surfers are carrying their surf boards into the ocean.,16.97
46_A group of surfers are carrying their surf boards (in a field)._4,A group of surfers are carrying their surf boards into the ocean.,15.13
46_A group of surfers in the ocean._0,A group of surfers are carrying their surf boards into the ocean.,17.13
46_A group of surfers in the ocean._1,A group of surfers are carrying their surf boards into the ocean.,13.72
46_A group of surfers in the ocean._2,A group of surfers are carrying their surf boards into the ocean.,15.28
46_A group of surfers in the ocean._3,A group of surfers are carrying their surf boards into the ocean.,15.17
46_A group of surfers in the ocean._4,A group of surfers are carrying their surf boards into the ocean.,16.10
46_Surf boards into the ocean._0,A group of surfers are carrying their surf boards into the ocean.,14.94
46_Surf boards into the ocean._2,A group of surfers are carrying their surf boards into the ocean.,14.18
46_Surf boards into the ocean._3,A group of surfers are carrying their surf boards into the ocean.,13.78
46_Surf boards into the ocean._4,A group of surfers are carrying their surf boards into the ocean.,12.65
46_A group of surfers._0,A group of surfers are carrying their surf boards into the ocean.,18.22
46_A group of surfers._1,A group of surfers are carrying their surf boards into the ocean.,11.10
46_A group of surfers._2,A group of surfers are carrying their surf boards into the ocean.,15.84
46_A group of surfers._3,A group of surfers are carrying their surf boards into the ocean.,16.80
46_A group of surfers._4,A group of surfers are carrying their surf boards into the ocean.,16.62
46_Surf boards._0,A group of surfers are carrying their surf boards into the ocean.,12.08
46_Surf boards._1,A group of surfers are carrying their surf boards into the ocean.,11.84
46_Surf boards._2,A group of surfers are carrying their surf boards into the ocean.,12.00
46_Surf boards._3,A group of surfers are carrying their surf boards into the ocean.,11.20
46_Surf boards._4,A group of surfers are carrying their surf boards into the ocean.,13.05
46_Ocean._4,A group of surfers are carrying their surf boards into the ocean.,6.15
coco_555553_stable_diffusion_v2_1,Zebras eat hay in black and white.,18.37
47_zebras  in black and white._1,Zebras eat hay in black and white.,17.45
47_Hay in black and white._0,Zebras eat hay in black and white.,10.93
47_Hay in black and white._1,Zebras eat hay in black and white.,10.70
47_Hay in black and white._2,Zebras eat hay in black and white.,11.02
47_Hay in black and white._3,Zebras eat hay in black and white.,10.34
47_Hay in black and white._4,Zebras eat hay in black and white.,11.39
coco_544405_stable_diffusion_v2_1,a woman in a black jacket and two pizzas,19.95
48_a woman in a black jacket._0,a woman in a black jacket and two pizzas,10.07
48_a woman in a black jacket._1,a woman in a black jacket and two pizzas,8.92
48_a woman in a black jacket._2,a woman in a black jacket and two pizzas,11.94
48_a woman in a black jacket._4,a woman in a black jacket and two pizzas,9.89
48_a woman and two pizzas._2,a woman in a black jacket and two pizzas,16.82
48_a woman and two pizzas._3,a woman in a black jacket and two pizzas,16.76
48_a woman and two pizzas._4,a woman in a black jacket and two pizzas,16.02
48_a black jacket._1,a woman in a black jacket and two pizzas,5.73
48_two pizzas._0,a woman in a black jacket and two pizzas,11.94
48_two pizzas._1,a woman in a black jacket and two pizzas,12.19
48_two pizzas._2,a woman in a black jacket and two pizzas,12.14
48_two pizzas._3,a woman in a black jacket and two pizzas,11.90
48_two pizzas._4,a woman in a black jacket and two pizzas,12.25
48_a woman._0,a woman in a black jacket and two pizzas,0.74
48_a woman._2,a woman in a black jacket and two pizzas,1.79
48_a woman._3,a woman in a black jacket and two pizzas,3.97
coco_800322_stable_diffusion_v2_1,a dog is laying with a remote controller,18.44
49_a dog is laying._0,a dog is laying with a remote controller,11.41
49_a dog is laying._2,a dog is laying with a remote controller,12.34
49_a dog is laying._3,a dog is laying with a remote controller,12.67
49_a dog is laying._4,a dog is laying with a remote controller,11.87
49_a remote controller._0,a dog is laying with a remote controller,7.90
49_a remote controller._1,a dog is laying with a remote controller,9.50
49_a remote controller._2,a dog is laying with a remote controller,10.37
49_a remote controller._3,a dog is laying with a remote controller,8.71
49_a remote controller._4,a dog is laying with a remote controller,11.26
coco_479450_stable_diffusion_v2_1,A red plate topped with broccoli meat and veggies.,19.59
50_A red plate topped with broccoli and meat._0,A red plate topped with broccoli meat and veggies.,20.44
50_A red plate topped with broccoli and meat._1,A red plate topped with broccoli meat and veggies.,19.36
50_A red plate topped with broccoli and meat._2,A red plate topped with broccoli meat and veggies.,20.51
50_A red plate topped with broccoli and meat._3,A red plate topped with broccoli meat and veggies.,18.89
50_A red plate topped with broccoli and meat._4,A red plate topped with broccoli meat and veggies.,18.95
50_A red plate topped with broccoli and veggies._0,A red plate topped with broccoli meat and veggies.,17.91
50_A red plate topped with broccoli and veggies._1,A red plate topped with broccoli meat and veggies.,16.46
50_A red plate topped with broccoli and veggies._3,A red plate topped with broccoli meat and veggies.,16.75
50_A red plate topped with meat and veggies._0,A red plate topped with broccoli meat and veggies.,21.34
50_A red plate topped with meat and veggies._1,A red plate topped with broccoli meat and veggies.,15.87
50_A red plate topped with meat and veggies._3,A red plate topped with broccoli meat and veggies.,14.36
"50_Broccoli, meat and veggies._0",A red plate topped with broccoli meat and veggies.,14.79
"50_Broccoli, meat and veggies._1",A red plate topped with broccoli meat and veggies.,15.25
"50_Broccoli, meat and veggies._2",A red plate topped with broccoli meat and veggies.,12.22
"50_Broccoli, meat and veggies._3",A red plate topped with broccoli meat and veggies.,12.32
"50_Broccoli, meat and veggies._4",A red plate topped with broccoli meat and veggies.,13.11
50_A red plate topped with broccoli._0,A red plate topped with broccoli meat and veggies.,17.62
50_A red plate topped with broccoli._1,A red plate topped with broccoli meat and veggies.,16.84
50_A red plate topped with broccoli._3,A red plate topped with broccoli meat and veggies.,16.13
50_A red plate topped with broccoli._4,A red plate topped with broccoli meat and veggies.,15.07
50_A red plate topped with meat._2,A red plate topped with broccoli meat and veggies.,12.08
50_A red plate topped with meat._4,A red plate topped with broccoli meat and veggies.,14.21
50_A red plate topped with veggies._0,A red plate topped with broccoli meat and veggies.,18.62
50_A red plate topped with veggies._1,A red plate topped with broccoli meat and veggies.,16.91
50_A red plate topped with veggies._2,A red plate topped with broccoli meat and veggies.,13.10
50_A red plate topped with veggies._3,A red plate topped with broccoli meat and veggies.,14.53
50_A red plate topped with veggies._4,A red plate topped with broccoli meat and veggies.,13.99
50_Broccoli and meat._0,A red plate topped with broccoli meat and veggies.,14.97
50_Broccoli and meat._1,A red plate topped with broccoli meat and veggies.,13.56
50_Broccoli and meat._2,A red plate topped with broccoli meat and veggies.,13.98
50_Broccoli and meat._3,A red plate topped with broccoli meat and veggies.,12.90
50_Broccoli and meat._4,A red plate topped with broccoli meat and veggies.,12.58
50_Broccoli and veggies._0,A red plate topped with broccoli meat and veggies.,9.75
50_Broccoli and veggies._1,A red plate topped with broccoli meat and veggies.,11.47
50_Broccoli and veggies._2,A red plate topped with broccoli meat and veggies.,10.88
50_Broccoli and veggies._3,A red plate topped with broccoli meat and veggies.,8.84
50_Broccoli and veggies._4,A red plate topped with broccoli meat and veggies.,10.04
50_Meat and veggies._0,A red plate topped with broccoli meat and veggies.,9.16
50_Meat and veggies._1,A red plate topped with broccoli meat and veggies.,12.12
50_Meat and veggies._2,A red plate topped with broccoli meat and veggies.,10.24
50_Meat and veggies._3,A red plate topped with broccoli meat and veggies.,10.13
50_Meat and veggies._4,A red plate topped with broccoli meat and veggies.,9.63
50_Broccoli._0,A red plate topped with broccoli meat and veggies.,9.70
50_Broccoli._1,A red plate topped with broccoli meat and veggies.,8.38
50_Broccoli._2,A red plate topped with broccoli meat and veggies.,8.32
50_Broccoli._3,A red plate topped with broccoli meat and veggies.,8.50
50_Broccoli._4,A red plate topped with broccoli meat and veggies.,9.24
50_Meat._1,A red plate topped with broccoli meat and veggies.,5.09
50_Meat._2,A red plate topped with broccoli meat and veggies.,4.30
50_Meat._3,A red plate topped with broccoli meat and veggies.,5.04
50_Meat._4,A red plate topped with broccoli meat and veggies.,5.10
50_Veggies._0,A red plate topped with broccoli meat and veggies.,6.00
50_Veggies._1,A red plate topped with broccoli meat and veggies.,4.86
50_Veggies._2,A red plate topped with broccoli meat and veggies.,5.93
50_Veggies._3,A red plate topped with broccoli meat and veggies.,6.28
50_Veggies._4,A red plate topped with broccoli meat and veggies.,6.63
50_A red plate._0,A red plate topped with broccoli meat and veggies.,8.87
50_A red plate._1,A red plate topped with broccoli meat and veggies.,9.13
50_A red plate._3,A red plate topped with broccoli meat and veggies.,5.96
50_A red plate._4,A red plate topped with broccoli meat and veggies.,9.80
coco_494204_stable_diffusion_v2_1,The woman is on the court playing a game of tennis.,16.61
51_The woman is on the court playing (a game of cricket)._0,The woman is on the court playing a game of tennis.,10.45
51_The woman is on the court playing (a game of cricket)._1,The woman is on the court playing a game of tennis.,12.34
51_The woman is on the court playing (a game of cricket)._2,The woman is on the court playing a game of tennis.,10.24
51_The woman is on the court playing (a game of cricket)._3,The woman is on the court playing a game of tennis.,9.42
51_The woman is on the court playing (a game of cricket)._4,The woman is on the court playing a game of tennis.,10.64
51_The woman playing a game of tennis._0,The woman is on the court playing a game of tennis.,15.37
51_The woman playing a game of tennis._1,The woman is on the court playing a game of tennis.,16.09
51_The woman playing a game of tennis._2,The woman is on the court playing a game of tennis.,18.01
51_The woman playing a game of tennis._3,The woman is on the court playing a game of tennis.,16.85
51_The woman playing a game of tennis._4,The woman is on the court playing a game of tennis.,17.55
51_A woman._0,The woman is on the court playing a game of tennis.,5.47
51_A woman._2,The woman is on the court playing a game of tennis.,3.61
51_A woman._3,The woman is on the court playing a game of tennis.,4.53
51_A woman._4,The woman is on the court playing a game of tennis.,3.25
51_A game of tennis._1,The woman is on the court playing a game of tennis.,16.16
51_A court._0,The woman is on the court playing a game of tennis.,3.81
51_A court._1,The woman is on the court playing a game of tennis.,1.42
51_A court._2,The woman is on the court playing a game of tennis.,3.94
51_A court._3,The woman is on the court playing a game of tennis.,2.13
51_A court._4,The woman is on the court playing a game of tennis.,3.41
coco_816278_stable_diffusion_v2_1,A row of motorcycles parked on the side of a road.,18.29
52_A row of motorcycles parked (in a ocean)_0,A row of motorcycles parked on the side of a road.,16.16
52_A row of motorcycles parked (in a ocean)_1,A row of motorcycles parked on the side of a road.,14.35
52_A row of motorcycles parked (in a ocean)_2,A row of motorcycles parked on the side of a road.,17.69
52_A row of motorcycles parked (in a ocean)_3,A row of motorcycles parked on the side of a road.,18.57
52_The side of a road._0,A row of motorcycles parked on the side of a road.,8.17
52_The side of a road._1,A row of motorcycles parked on the side of a road.,8.94
52_The side of a road._2,A row of motorcycles parked on the side of a road.,9.20
52_The side of a road._3,A row of motorcycles parked on the side of a road.,6.83
52_The side of a road._4,A row of motorcycles parked on the side of a road.,8.75
coco_764251_stable_diffusion_v2_1,Young kitten along windowpane watching the rain tap on the glass.,17.64
53_Young kitten watching the rain tap on the glass._0,Young kitten along windowpane watching the rain tap on the glass.,17.76
53_Young kitten watching the rain tap on the glass._2,Young kitten along windowpane watching the rain tap on the glass.,18.60
53_Young kitten watching the rain tap on the glass._4,Young kitten along windowpane watching the rain tap on the glass.,17.59
53_Along windowpane the rain tap on the glass._1,Young kitten along windowpane watching the rain tap on the glass.,8.59
53_Along windowpane the rain tap on the glass._4,Young kitten along windowpane watching the rain tap on the glass.,11.19
53_Young kitten along windowpane._0,Young kitten along windowpane watching the rain tap on the glass.,17.71
53_Young kitten along windowpane._1,Young kitten along windowpane watching the rain tap on the glass.,16.71
53_Young kitten along windowpane._2,Young kitten along windowpane watching the rain tap on the glass.,16.09
53_Young kitten along windowpane._3,Young kitten along windowpane watching the rain tap on the glass.,16.32
53_Young kitten watching the rain._0,Young kitten along windowpane watching the rain tap on the glass.,15.25
53_Young kitten watching the rain._1,Young kitten along windowpane watching the rain tap on the glass.,13.83
53_Young kitten watching the rain._2,Young kitten along windowpane watching the rain tap on the glass.,14.25
53_Young kitten watching the rain._3,Young kitten along windowpane watching the rain tap on the glass.,10.29
53_Young kitten watching the rain._4,Young kitten along windowpane watching the rain tap on the glass.,15.70
53_Along windowpane watching the rain._0,Young kitten along windowpane watching the rain tap on the glass.,7.52
53_Along windowpane watching the rain._1,Young kitten along windowpane watching the rain tap on the glass.,8.59
53_Along windowpane watching the rain._2,Young kitten along windowpane watching the rain tap on the glass.,10.97
53_Along windowpane watching the rain._3,Young kitten along windowpane watching the rain tap on the glass.,12.86
53_Along windowpane watching the rain._4,Young kitten along windowpane watching the rain tap on the glass.,11.01
53_Watching the rain tap on the glass._0,Young kitten along windowpane watching the rain tap on the glass.,10.52
53_Young kitten._0,Young kitten along windowpane watching the rain tap on the glass.,10.99
53_Young kitten._1,Young kitten along windowpane watching the rain tap on the glass.,11.23
53_Young kitten._2,Young kitten along windowpane watching the rain tap on the glass.,11.02
53_Young kitten._3,Young kitten along windowpane watching the rain tap on the glass.,11.42
53_Young kitten._4,Young kitten along windowpane watching the rain tap on the glass.,10.64
53_Windowpane._0,Young kitten along windowpane watching the rain tap on the glass.,5.08
53_Windowpane._1,Young kitten along windowpane watching the rain tap on the glass.,5.97
53_Windowpane._2,Young kitten along windowpane watching the rain tap on the glass.,6.12
53_Windowpane._3,Young kitten along windowpane watching the rain tap on the glass.,8.24
53_Windowpane._4,Young kitten along windowpane watching the rain tap on the glass.,7.57
53_Rain._2,Young kitten along windowpane watching the rain tap on the glass.,4.83
53_Rain._3,Young kitten along windowpane watching the rain tap on the glass.,6.07
53_Tap on the glass._0,Young kitten along windowpane watching the rain tap on the glass.,4.86
53_Tap on the glass._1,Young kitten along windowpane watching the rain tap on the glass.,4.05
53_Tap on the glass._2,Young kitten along windowpane watching the rain tap on the glass.,4.47
53_Tap on the glass._3,Young kitten along windowpane watching the rain tap on the glass.,3.33
53_Tap on the glass._4,Young kitten along windowpane watching the rain tap on the glass.,4.01
coco_352431_stable_diffusion_v2_1,A woman sitting on a couch in front of a laptop.,15.05
54_A woman sitting on a couch._0,A woman sitting on a couch in front of a laptop.,11.52
54_A woman sitting on a couch._1,A woman sitting on a couch in front of a laptop.,13.73
54_A woman sitting on a couch._2,A woman sitting on a couch in front of a laptop.,11.61
54_A woman sitting on a couch._3,A woman sitting on a couch in front of a laptop.,13.02
54_A woman sitting on a couch._4,A woman sitting on a couch in front of a laptop.,12.69
54_A woman sitting in front of a laptop._0,A woman sitting on a couch in front of a laptop.,11.74
54_A woman sitting in front of a laptop._1,A woman sitting on a couch in front of a laptop.,11.53
54_A woman sitting in front of a laptop._2,A woman sitting on a couch in front of a laptop.,11.55
54_A woman sitting in front of a laptop._3,A woman sitting on a couch in front of a laptop.,10.42
54_A woman sitting in front of a laptop._4,A woman sitting on a couch in front of a laptop.,11.60
54_a couch in front of a laptop._2,A woman sitting on a couch in front of a laptop.,11.85
54_a couch in front of a laptop._3,A woman sitting on a couch in front of a laptop.,11.43
54_a couch in front of a laptop._4,A woman sitting on a couch in front of a laptop.,11.05
54_A couch._0,A woman sitting on a couch in front of a laptop.,6.65
54_A couch._1,A woman sitting on a couch in front of a laptop.,5.88
54_A couch._2,A woman sitting on a couch in front of a laptop.,6.57
54_A couch._3,A woman sitting on a couch in front of a laptop.,6.83
54_A couch._4,A woman sitting on a couch in front of a laptop.,7.37
54_A laptop._0,A woman sitting on a couch in front of a laptop.,4.58
54_A laptop._1,A woman sitting on a couch in front of a laptop.,6.22
54_A laptop._2,A woman sitting on a couch in front of a laptop.,5.86
54_A laptop._3,A woman sitting on a couch in front of a laptop.,7.04
54_A laptop._4,A woman sitting on a couch in front of a laptop.,5.53
54_A woman._0,A woman sitting on a couch in front of a laptop.,2.96
54_A woman._2,A woman sitting on a couch in front of a laptop.,2.53
54_A woman._3,A woman sitting on a couch in front of a laptop.,2.79
coco_413279_stable_diffusion_v2_1,Small white toilet with a seashell on the wall,15.69
55_Small white toilet_0,Small white toilet with a seashell on the wall,10.94
55_Small white toilet_1,Small white toilet with a seashell on the wall,12.66
55_Small white toilet_2,Small white toilet with a seashell on the wall,10.92
55_Small white toilet_3,Small white toilet with a seashell on the wall,12.69
55_Small white toilet_4,Small white toilet with a seashell on the wall,10.37
55_A seashell on the wall._0,Small white toilet with a seashell on the wall,12.80
55_A seashell on the wall._1,Small white toilet with a seashell on the wall,13.08
55_A seashell on the wall._2,Small white toilet with a seashell on the wall,14.69
55_A seashell on the wall._3,Small white toilet with a seashell on the wall,12.54
coco_602469_stable_diffusion_v2_1,A teddy bear store is decorated with signs and teddy bears.,16.13
56_A teddy bear store is decorated with signs._0,A teddy bear store is decorated with signs and teddy bears.,19.14
56_A teddy bear store is decorated with signs._1,A teddy bear store is decorated with signs and teddy bears.,18.54
56_A teddy bear store is decorated with signs._2,A teddy bear store is decorated with signs and teddy bears.,17.28
56_A teddy bear store is decorated with signs._3,A teddy bear store is decorated with signs and teddy bears.,18.41
56_A teddy bear store is decorated with signs._4,A teddy bear store is decorated with signs and teddy bears.,16.13
56_A teddy bear store is decorated with bears._0,A teddy bear store is decorated with signs and teddy bears.,14.39
56_A teddy bear store is decorated with bears._2,A teddy bear store is decorated with signs and teddy bears.,14.97
56_A teddy bear store is decorated with bears._3,A teddy bear store is decorated with signs and teddy bears.,12.70
56_A teddy bear store is decorated with bears._4,A teddy bear store is decorated with signs and teddy bears.,13.62
56_A teddy bear store decorated._1,A teddy bear store is decorated with signs and teddy bears.,16.22
56_A teddy bear store decorated._3,A teddy bear store is decorated with signs and teddy bears.,17.68
56_A teddy bear store decorated._4,A teddy bear store is decorated with signs and teddy bears.,17.92
56_Decorated with signs._0,A teddy bear store is decorated with signs and teddy bears.,8.47
56_Decorated with signs._1,A teddy bear store is decorated with signs and teddy bears.,6.50
56_Decorated with signs._2,A teddy bear store is decorated with signs and teddy bears.,10.04
56_Decorated with signs._3,A teddy bear store is decorated with signs and teddy bears.,10.21
56_Decorated with signs._4,A teddy bear store is decorated with signs and teddy bears.,9.70
56_Decorated with bears._0,A teddy bear store is decorated with signs and teddy bears.,7.06
56_Decorated with bears._1,A teddy bear store is decorated with signs and teddy bears.,10.87
56_Decorated with bears._2,A teddy bear store is decorated with signs and teddy bears.,13.46
56_Decorated with bears._4,A teddy bear store is decorated with signs and teddy bears.,8.45
coco_558559_stable_diffusion_v2_1,A guy sitting down and a hand with a cell phone in it.,16.44
57_A cell phone in a hand._0,A guy sitting down and a hand with a cell phone in it.,9.59
57_A cell phone in a hand._1,A guy sitting down and a hand with a cell phone in it.,8.80
57_A cell phone in a hand._4,A guy sitting down and a hand with a cell phone in it.,10.08
57_A guy sitting down._0,A guy sitting down and a hand with a cell phone in it.,11.14
57_A guy sitting down._1,A guy sitting down and a hand with a cell phone in it.,12.54
